2020-11-03 23:31:27 status unpacked libnpth0:armhf 1.6-1
2020-11-03 23:31:27 status half-configured libnpth0:armhf 1.6-1
2020-11-03 23:31:27 status installed libnpth0:armhf 1.6-1
2020-11-03 23:31:27 configure libffi6:armhf 3.2.1-9 <none>
2020-11-03 23:31:27 status unpacked libffi6:armhf 3.2.1-9
2020-11-03 23:31:27 status half-configured libffi6:armhf 3.2.1-9
2020-11-03 23:31:27 status installed libffi6:armhf 3.2.1-9
2020-11-03 23:31:27 configure libidn2-0:armhf 2.0.5-1+deb10u1 <none>
2020-11-03 23:31:27 status unpacked libidn2-0:armhf 2.0.5-1+deb10u1
2020-11-03 23:31:27 status half-configured libidn2-0:armhf 2.0.5-1+deb10u1
2020-11-03 23:31:27 status installed libidn2-0:armhf 2.0.5-1+deb10u1
2020-11-03 23:31:28 configure libcom-err2:armhf 1.44.5-1+deb10u3 <none>
2020-11-03 23:31:28 status unpacked libcom-err2:armhf 1.44.5-1+deb10u3
2020-11-03 23:31:28 status half-configured libcom-err2:armhf 1.44.5-1+deb10u3
2020-11-03 23:31:28 status installed libcom-err2:armhf 1.44.5-1+deb10u3
2020-11-03 23:31:28 configure libassuan0:armhf 2.5.2-1 <none>
2020-11-03 23:31:28 status unpacked libassuan0:armhf 2.5.2-1
2020-11-03 23:31:28 status half-configured libassuan0:armhf 2.5.2-1
2020-11-03 23:31:28 status installed libassuan0:armhf 2.5.2-1
2020-11-03 23:31:28 configure diffutils:armhf 1:3.7-3 <none>
2020-11-03 23:31:28 status unpacked diffutils:armhf 1:3.7-3
2020-11-03 23:31:28 status half-configured diffutils:armhf 1:3.7-3
2020-11-03 23:31:28 status installed diffutils:armhf 1:3.7-3
2020-11-03 23:31:28 configure libseccomp2:armhf 2.3.3-4 <none>
2020-11-03 23:31:28 status unpacked libseccomp2:armhf 2.3.3-4
2020-11-03 23:31:28 status half-configured libseccomp2:armhf 2.3.3-4
2020-11-03 23:31:28 status installed libseccomp2:armhf 2.3.3-4
2020-11-03 23:31:28 configure libsystemd0:armhf 241-7~deb10u4+rpi1 <none>
2020-11-03 23:31:28 status unpacked libsystemd0:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:28 status half-configured libsystemd0:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:28 status installed libsystemd0:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:28 configure libcap2:armhf 1:2.25-2 <none>
2020-11-03 23:31:28 status unpacked libcap2:armhf 1:2.25-2
2020-11-03 23:31:28 status half-configured libcap2:armhf 1:2.25-2
2020-11-03 23:31:28 status installed libcap2:armhf 1:2.25-2
2020-11-03 23:31:28 configure libkrb5support0:armhf 1.17-3 <none>
2020-11-03 23:31:28 status unpacked libkrb5support0:armhf 1.17-3
2020-11-03 23:31:28 status half-configured libkrb5support0:armhf 1.17-3
2020-11-03 23:31:28 status installed libkrb5support0:armhf 1.17-3
2020-11-03 23:31:28 configure libnl-route-3-200:armhf 3.4.0-1 <none>
2020-11-03 23:31:28 status unpacked libnl-route-3-200:armhf 3.4.0-1
2020-11-03 23:31:28 status half-configured libnl-route-3-200:armhf 3.4.0-1
2020-11-03 23:31:28 status installed libnl-route-3-200:armhf 3.4.0-1
2020-11-03 23:31:28 configure libsasl2-modules-db:armhf 2.1.27+dfsg-1+deb10u1 <none>
2020-11-03 23:31:28 status unpacked libsasl2-modules-db:armhf 2.1.27+dfsg-1+deb10u1
